_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
288,may-21,3,11,22,152,95,69,1173,562,132,343,126,10,24,96,2,15.5%
289,may-21,8,23,37,87,33,97,769,0,769,0,0,0,15,14,43,10.2%
290,may-21,7,44,426,387,150,618,5633,0,0,2740,2366,520,325,262,98,74.4%
291,may-21,5,68,463,583,232,754,6636,349,757,2707,2310,513,366,381,122,87.6%
292,may-21,4,7,102,66,14,120,888,7,94,502,257,28,30,43,35,11.7%
293,jun-21,1,98,465,719,253,514,8037,618,979,3295,2594,551,454,429,136,100.0%
294,jun-21,2,13,37,320,152,92,3840,226,326,1354,1563,371,252,164,63,47.8%
295,jun-21,6,16,20,105,62,27,998,244,152,390,196,16,54,84,9,12.4%
296,jun-21,3,28,13,227,97,50,1276,611,152,360,144,9,40,100,3,15.9%
297,jun-21,8,16,44,102,24,66,826,0,826,0,0,0,22,21,45,10.3%
298,jun-21,7,54,408,390,132,398,5935,0,0,2935,2450,542,348,283,103,73.8%
299,jun-21,5,82,445,614,191,487,7039,374,827,2905,2398,535,399,396,129,87.6%
300,jun-21,4,13,105,45,24,74,936,3,104,524,279,26,48,48,37,11.6%
301,jul-21,1,87,453,740,284,637,8322,673,972,3430,2682,565,456,431,135,100.0%
302,jul-21,2,20,39,302,162,108,3904,247,317,1381,1578,381,253,170,65,46.9%
303,jul-21,6,14,22,70,65,28,1014,258,150,390,198,18,59,87,10,12.2%
304,jul-21,3,19,13,206,96,50,1356,671,143,385,145,12,56,102,1,16.3%
305,jul-21,8,8,54,97,45,89,829,0,829,0,0,0,26,17,46,10.0%
306,jul-21,7,60,386,437,143,498,6137,0,0,3045,2537,553,357,297,102,73.7%
307,jul-21,5,73,431,670,219,609,7308,415,822,3040,2484,547,420,405,126,87.8%
308,jul-21,4,13,90,58,25,95,972,5,108,536,300,23,61,55,38,11.7%
309,aug-21,1,104,452,685,306,728,8479,701,972,3524,2701,581,457,433,131,100.0%
310,aug-21,2,17,21,308,175,146,3915,237,340,1386,1565,387,254,171,66,46.2%
311,aug-21,6,24,25,54,89,39,995,254,143,386,191,21,48,86,9,11.7%
312,aug-21,3,26,39,170,138,72,1378,686,147,397,134,14,64,105,3,16.3%
313,aug-21,8,12,36,95,28,107,823,0,823,0,0,0,21,21,45,9.7%
314,aug-21,7,66,377,420,140,549,6278,0,0,3127,2567,567,370,308,96,74.0%
315,aug-21,5,80,427,631,217,689,7484,447,829,3138,2510,560,432,411,122,88.3%
316,aug-21,4,15,82,41,17,115,1002,5,114,554,302,27,77,57,40,11.8%
317,sep-21,1,101,433,832,255,753,8760,787,1011,3588,2781,593,460,436,131,100.0%
318,sep-21,2,26,36,259,129,119,3958,230,347,1418,1572,391,255,175,68,45.2%
319,sep-21,6,16,30,185,53,45,1149,312,161,454,199,23,87,89,10,13.1%
320,sep-21,3,28,29,299,91,90,1548,772,168,445,149,14,92,113,3,17.7%
321,sep-21,8,13,55,98,42,88,842,0,842,0,0,0,27,22,47,9.6%
322,sep-21,7,60,349,435,122,575,6370,0,0,3143,2632,579,380,313,94,72.7%
323,sep-21,5,85,403,647,202,708,7611,475,850,3134,2582,570,436,414,121,86.9%
324,sep-21,4,13,85,53,18,118,1026,8,122,554,310,32,81,61,45,11.7%
325,oct-21,1,80,450,850,270,823,8992,847,1052,3665,2833,595,465,438,130,100.0%
326,oct-21,2,15,49,289,137,135,4010,237,362,1424,1587,400,256,180,69,44.6%
327,oct-21,6,15,26,210,65,38,1301,364,182,519,211,25,99,91,10,14.5%
328,oct-21,3,18,31,271,104,60,1700,839,190,486,169,16,100,121,2,18.9%
329,oct-21,8,13,48,109,38,97,861,0,861,0,0,0,33,23,49,9.6%
330,oct-21,7,49,371,470,128,666,6431,0,0,3179,2664,579,388,316,92,71.5%
331,oct-21,5,65,424,640,205,785,7691,483,870,3146,2622,570,438,416,120,85.5%
332,oct-21,4,10,93,59,26,127,1053,6,134,573,308,32,91,63,41,11.7%
333,nov-21,1,77,455,783,250,813,9199,849,1060,3753,2921,616,472,439,127,100.0%
334,nov-21,2,17,48,379,144,151,4131,231,371,1486,1620,423,258,190,72,44.9%
335,nov-21,6,17,20,214,65,53,1349,362,187,556,222,22,103,92,9,14.7%
336,nov-21,3,14,25,237,136,91,1754,846,205,505,179,19,105,125,2,19.1%
337,nov-21,8,19,40,80,29,96,855,0,855,0,0,0,26,26,50,9.3%
338,nov-21,7,44,390,466,85,626,6590,0,0,3248,2742,597,405,319,88,71.6%
339,nov-21,5,60,435,569,185,760,7850,487,873,3197,2699,594,453,420,118,85.3%
340,nov-21,4,7,99,45,14,134,1070,6,122,573,337,32,93,63,42,11.6%
341,dec-21,1,52,319,806,261,805,9255,901,1054,3733,2930,637,471,440,126,100.0%
342,dec-21,2,11,34,376,151,120,4258,269,385,1507,1663,434,259,201,76,46.0%
343,dec-21,6,10,18,286,73,63,1530,415,204,641,247,23,111,98,13,16.5%
344,dec-21,3,7,15,262,125,68,1827,888,200,536,183,20,108,127,3,19.7%
345,dec-21,8,9,29,99,24,101,850,0,850,0,0,0,20,28,52,9.2%
346,dec-21,7,36,275,445,112,636,6578,0,0,3197,2747,617,402,321,84,71.1%
347,dec-21,5,42,301,520,188,742,7725,486,850,3092,2683,614,444,416,115,83.5%
348,dec-21,4,4,56,35,19,128,1043,5,126,545,335,32,89,58,42,11.3%
349,jan-22,1,85,408,741,235,781,9410,909,1055,3807,2987,652,477,443,140,100.0%
350,jan-22,2,27,32,359,131,153,4365,283,385,1561,1686,450,261,214,82,46.4%
351,jan-22,6,14,22,269,61,48,1726,470,229,725,275,27,116,106,14,18.3%
352,jan-22,3,11,5,177,112,66,1861,896,204,556,185,20,109,132,2,19.8%
353,jan-22,8,19,42,91,33,95,851,0,851,0,0,0,19,26,59,9.0%
354,jan-22,7,55,361,473,90,620,6698,0,0,3251,2802,632,411,324,97,71.2%
355,jan-22,5,71,386,472,174,733,7684,439,826,3082,2712,625,442,412,130,81.7%
356,jan-22,4,13,102,54,13,123,1098,5,127,577,354,35,97,62,49,11.7%
357,feb-22,1,87,370,780,282,721,9559,920,1096,3843,3045,655,486,444,138,100.0%
358,feb-22,2,25,28,372,130,119,4508,314,388,1603,1754,449,262,219,81,47.2%
359,feb-22,6,22,21,240,117,62,1833,487,261,758,299,28,122,107,15,19.2%
360,feb-22,3,11,7,238,142,63,1904,912,213,569,192,18,110,134,2,19.9%
361,feb-22,8,13,45,104,35,75,882,0,882,0,0,0,25,36,61,9.2%
362,feb-22,7,63,318,438,105,583,6773,0,0,3274,2853,637,423,325,92,70.9%
363,feb-22,5,65,349,540,165,659,7726,433,835,3085,2746,627,448,413,126,80.8%
364,feb-22,4,15,90,57,18,98,1159,6,134,614,368,37,102,72,47,12.1%
365,mar-22,1,101,349,954,321,673,9933,1012,1165,3991,3104,661,499,454,137,100.0%
366,mar-22,2,18,26,468,175,138,4686,345,417,1640,1836,448,263,243,83,47.2%
367,mar-22,6,27,20,421,131,72,2099,582,312,837,337,31,141,122,13,21.1%
368,mar-22,3,30,25,404,171,71,2115,1006,248,622,221,18,115,155,4,21.3%
369,mar-22,8,16,35,108,29,75,913,0,913,0,0,0,35,41,57,9.2%
370,mar-22,7,55,289,442,121,527,6905,0,0,3369,2883,643,429,340,92,69.5%
371,mar-22,5,74,329,533,190,601,7834,430,853,3154,2767,630,455,417,126,78.9%
372,mar-22,4,10,69,52,17,115,1193,6,140,647,358,42,104,81,51,12.0%
373,apr-22,1,77,316,718,283,803,9913,1053,1175,3919,3104,662,497,455,132,100.0%
374,apr-22,2,12,27,415,161,167,4778,364,441,1666,1870,437,265,261,82,48.2%
375,apr-22,6,7,24,309,91,89,2263,631,333,885,381,33,153,129,14,22.8%
376,apr-22,3,17,11,279,136,76,2208,1045,267,644,235,17,119,166,4,22.3%
377,apr-22,8,9,29,91,17,96,908,0,908,0,0,0,32,45,51,9.2%
378,apr-22,7,51,276,348,130,631,6797,0,0,3275,2869,645,422,332,91,68.6%
379,apr-22,5,70,292,409,192,714,7650,422,842,3034,2723,629,443,410,119,77.2%
380,apr-22,4,15,77,27,19,162,1153,3,121,643,343,43,101,69,48,11.6%
381,may-22,1,82,309,740,333,939,9732,1073,1180,3757,3057,665,487,452,126,100.0%
382,may-22,2,9,37,471,217,172,4885,392,478,1653,1905,457,268,273,79,50.2%
383,may-22,6,23,21,285,127,96,2379,655,355,929,402,38,159,135,9,24.4%
384,may-22,3,23,14,226,144,69,2260,1064,272,658,247,19,127,174,2,23.2%
385,may-22,8,10,40,91,23,102,907,0,907,0,0,0,29,46,52,9.3%
386,may-22,7,49,255,423,166,768,6565,0,0,3099,2810,646,397,326,85,67.5%
387,may-22,5,59,288,455,206,843,7353,418,825,2828,2655,627,427,407,117,75.6%
388,may-22,4,6,81,44,20,155,1130,3,122,615,352,38,98,71,42,11.6%
389,jun-22,1,81,382,779,373,791,9752,1091,1193,3780,3014,674,484,458,128,100.0%
390,jun-22,2,17,55,395,199,190,4916,415,482,1659,1896,464,272,275,88,50.4%
391,jun-22,6,20,21,285,175,79,2449,675,360,977,398,39,163,140,11,25.1%
392,jun-22,3,9,13,252,201,100,2218,1052,261,655,231,19,124,165,3,22.7%
393,jun-22,8,16,37,100,27,81,932,0,932,0,0,0,30,59,53,9.6%
394,jun-22,7,56,332,427,145,610,6602,0,0,3125,2783,655,394,339,85,67.7%
395,jun-22,5,61,361,494,198,712,7303,416,833,2803,2616,635,416,409,117,74.9%
396,jun-22,4,9,80,42,17,144,1103,3,125,590,352,33,94,78,38,11.3%
397,jul-22,1,74,277,814,344,762,9768,1125,1165,3830,2974,674,481,464,125,100.0%
398,jul-22,2,10,31,388,225,209,4901,408,495,1634,1888,476,269,274,85,50.2%
399,jul-22,6,16,16,396,164,81,2638,696,374,1113,416,39,172,168,11,27.0%
400,jul-22,3,19,21,262,181,78,2274,1088,265,668,234,19,126,178,3,23.3%
401,jul-22,8,10,18,77,33,77,899,0,899,0,0,0,21,53,49,9.2%
402,jul-22,7,45,238,475,130,607,6595,0,0,3162,2740,655,390,345,86,67.5%
403,jul-22,5,58,261,418,180,681,7130,429,791,2717,2558,635,400,404,116,73.0%
404,jul-22,4,8,56,24,21,144,1034,2,118,554,324,36,86,66,36,10.6%
405,aug-22,1,82,289,797,418,743,9724,1114,1156,3837,2942,675,480,459,127,100.0%
406,aug-22,2,20,42,381,230,212,4899,388,511,1638,1885,477,266,279,82,50.4%
407,aug-22,6,21,23,452,220,106,2813,699,379,1252,445,38,179,185,14,28.9%
408,aug-22,3,28,19,256,241,76,2257,1078,252,674,235,18,128,172,3,23.2%
409,aug-22,8,4,32,97,23,80,904,0,904,0,0,0,23,51,55,9.3%
410,aug-22,7,50,238,444,154,587,6563,0,0,3163,2707,657,387,342,82,67.5%
411,aug-22,5,61,266,345,198,637,6911,415,777,2585,2497,637,387,394,115,71.1%
412,aug-22,4,6,62,28,20,145,971,3,116,512,307,33,73,47,34,10.0%
413,sep-22,1,73,265,791,376,746,9690,1126,1158,3815,2939,652,476,461,125,100.0%
414,sep-22,2,15,49,502,244,193,4978,442,527,1659,1880,470,275,289,85,51.4%
415,sep-22,6,21,19,366,164,92,2976,702,413,1359,460,42,181,207,16,30.7%
416,sep-22,3,14,6,236,176,70,2221,1095,244,648,218,16,117,173,3,22.9%
417,sep-22,8,8,20,104,33,80,914,0,914,0,0,0,28,49,57,9.4%
418,sep-22,7,51,239,451,167,596,6555,0,0,3167,2721,636,383,347,78,67.6%
419,sep-22,5,52,246,425,212,654,6714,424,745,2456,2479,610,373,386,113,69.3%
420,sep-22,4,7,57,42,25,143,915,2,111,466,305,31,53,38,30,9.4%
421,oct-22,1,49,281,733,453,651,9622,1155,1132,3845,2860,630,470,460,128,100.0%
422,oct-22,2,8,50,409,305,212,4926,426,520,1652,1860,468,271,281,86,51.2%
423,oct-22,6,13,11,403,218,83,3109,728,425,1443,468,45,189,216,17,32.3%
424,oct-22,3,10,21,319,246,61,2260,1132,242,648,221,17,120,182,3,23.5%
425,oct-22,8,7,20,65,27,74,889,0,889,0,0,0,19,43,58,9.2%
426,oct-22,7,32,240,349,180,516,6473,0,0,3197,2639,613,378,338,80,67.3%
427,oct-22,5,36,270,330,235,568,6513,427,707,2402,2392,585,355,367,114,67.7%
428,oct-22,4,5,78,27,23,112,895,2,106,465,294,28,44,35,29,9.3%
429,nov-22,1,56,370,722,464,565,9711,1134,1139,3930,2882,626,479,460,123,100.0%
430,nov-22,2,11,68,381,295,163,4898,391,516,1655,1864,472,270,271,84,50.4%
431,nov-22,6,15,21,368,248,89,3185,717,437,1495,489,47,195,220,16,32.8%
432,nov-22,3,5,13,270,236,63,2255,1117,248,641,231,18,121,179,3,23.2%
433,nov-22,8,9,34,88,43,61,889,0,889,0,0,0,26,39,56,9.2%
434,nov-22,7,42,323,364,185,441,6567,0,0,3289,2651,608,389,341,77,67.6%
435,nov-22,5,41,349,354,216,476,6526,417,702,2435,2393,579,359,363,111,67.2%
436,nov-22,4,7,96,32,21,111,897,2,97,474,299,25,54,32,25,9.2%
437,dec-22,1,93,500,1226,503,563,10408,1273,1234,4286,2994,621,505,478,130,100.0%
438,dec-22,2,19,76,414,322,158,4895,379,518,1687,1843,468,267,277,80,47.0%
439,dec-22,6,31,24,605,263,82,3530,803,497,1677,507,46,214,260,17,33.9%
